threshold_pts,flagged_trades,flagged_wins,flagged_losses,kept_trades,kept_wins,kept_losses,loss_capture_rate,winner_penalty_rate,flagged_total_pnl,kept_total_pnl,kept_win_rate,pnl_removed_if_flagged_bucket,pnl_impact_if_skipped_POST_HOC_BIASED,losses_avoided_per_winner_sacrificed,"post_hoc_separation_score (diagnostic only, biased)"
2.5,35,26,9,4,4,0,1.0,0.8666666666666667,8780.0,2070.0,1.0,8780.0,-8780.0,0.34615384615384615,0.2553333333333333
5.0,28,20,8,11,10,1,0.8888888888888888,0.6666666666666666,5430.0,5420.0,0.9090909090909091,5430.0,-5430.0,0.4,0.5681111111111111
7.5,21,13,8,18,17,1,0.8888888888888888,0.43333333333333335,1900.0,8950.0,0.9444444444444444,1900.0,-1900.0,0.6153846153846154,1.1544444444444444
10.0,17,9,8,22,21,1,0.8888888888888888,0.3,160.0,10690.0,0.9545454545454546,160.0,-160.0,0.8888888888888888,1.4617777777777776
12.5,11,4,7,28,26,2,0.7777777777777778,0.13333333333333333,-2725.0,13575.0,0.9285714285714286,-2725.0,2725.0,1.75,1.6947222222222222
15.0,7,1,6,32,29,3,0.6666666666666666,0.03333333333333333,-4310.0,15160.0,0.90625,-4310.0,4310.0,6.0,1.7309999999999999
17.5,3,1,2,36,29,7,0.2222222222222222,0.03333333333333333,-410.0,11260.0,0.8055555555555556,-410.0,410.0,2.0,0.4521111111111111
20.0,2,0,2,37,30,7,0.2222222222222222,0.0,-1650.0,12500.0,0.8108108108108109,-1650.0,1650.0,inf,0.6094444444444445
22.5,1,0,1,38,30,8,0.1111111111111111,0.0,-585.0,11435.0,0.7894736842105263,-585.0,585.0,inf,0.2807222222222222
25.0,1,0,1,38,30,8,0.1111111111111111,0.0,-585.0,11435.0,0.7894736842105263,-585.0,585.0,inf,0.2807222222222222
